time; apparent
1636804873.2405682; 664.28928; 
1636804873.3512843; 658.75968; 
1636804873.4532356; 655.4419199999999; 
1636804873.5551798; 653.5987200000001; 
1636804873.657114; 652.12416; 
1636804873.7590685; 651.7555199999999; 
1636804873.8609853; 650.6496; 
1636804873.9629655; 650.6496; 
1636804874.0649233; 649.1750399999999; 
1636804874.1668606; 648.4377599999999; 
1636804874.2688074; 648.0691199999999; 
1636804874.3793705; 649.1750399999999; 
1636804874.4813583; 647.70048; 
1636804874.5833242; 647.70048; 
1636804874.6852496; 647.70048; 
1636804874.7872021; 647.70048; 
1636804874.8891098; 647.70048; 
1636804874.9910626; 648.0691199999999; 
1636804875.0929902; 648.0691199999999; 
1636804875.194913; 648.0691199999999; 
1636804875.296971; 648.4377599999999; 
1636804875.4072983; 647.33184; 
1636804875.5093105; 647.33184; 
1636804875.6112576; 646.9631999999999; 
1636804875.7132165; 646.9631999999999; 
1636804875.8151398; 646.9631999999999; 
1636804875.9170983; 646.9631999999999; 
1636804876.0190883; 646.9631999999999; 
1636804876.121044; 646.59456; 
1636804876.2229924; 646.59456; 
1636804876.3249545; 646.59456; 
1636804876.435946; 646.22592; 
1636804876.5378513; 646.59456; 
1636804876.6397598; 645.85728; 
1636804876.7416627; 645.12; 
1636804876.8435607; 645.12; 
1636804876.945454; 644.3827200000001; 
1636804877.0475738; 645.85728; 
1636804877.1495998; 645.12; 
1636804877.2516007; 644.75136; 
1636804877.353587; 645.12; 
1636804877.4647117; 648.0691199999999; 
1636804877.5666618; 644.01408; 
1636804877.6686158; 644.01408; 
1636804877.770568; 644.01408; 
1636804877.8724847; 643.6454399999999; 
1636804877.9744143; 644.01408; 
1636804878.0763483; 643.6454399999999; 
1636804878.178278; 643.2768; 
1636804878.2802591; 644.01408; 
1636804878.3822017; 643.2768; 
1636804878.493031; 644.3827200000001; 
1636804878.5949614; 643.2768; 
1636804878.697051; 644.01408; 
1636804878.799003; 643.6454399999999; 
1636804878.9009843; 643.2768; 
1636804879.0029202; 642.17088; 
1636804879.1048443; 641.8022400000001; 
1636804879.2067568; 641.4336; 
1636804879.308676; 641.8022400000001; 
1636804879.4106057; 642.17088; 
1636804879.5217776; 643.2768; 
1636804879.6237345; 641.8022400000001; 
1636804879.7256796; 641.8022400000001; 
1636804879.8276076; 641.4336; 
1636804879.9296808; 642.5395199999999; 
1636804880.031654; 641.4336; 
1636804880.133609; 641.8022400000001; 
1636804880.2355728; 641.8022400000001; 
1636804880.337538; 641.4336; 
1636804880.4395363; 641.4336; 
1636804880.5539782; 661.7087999999999; 
1636804880.6555302; 638.85312; 
1636804880.757484; 640.6963199999999; 
1636804880.8594797; 640.6963199999999; 
1636804880.961427; 639.95904; 
1636804881.0634973; 640.6963199999999; 
1636804881.1654432; 639.95904; 
1636804881.2674158; 639.5904; 
1636804881.3694305; 639.5904; 
1636804881.471397; 639.22176; 
1636804881.5823553; 638.85312; 
1636804881.6838317; 636.6412799999999; 
1636804881.78575; 638.85312; 
1636804881.8876534; 638.85312; 
1636804881.9896963; 639.22176; 
1636804882.0916765; 638.85312; 
1636804882.194011; 641.8022400000001; 
1636804882.2960262; 639.5904; 
1636804882.3980222; 645.85728; 
1636804882.4999933; 663.5519999999999; 
1636804882.6103618; 672.03072; 
1636804882.7123256; 673.50528; 
1636804882.814328; 674.6112; 
1636804882.9162908; 674.6112; 
1636804883.0182445; 674.6112; 
1636804883.120187; 674.6112; 
1636804883.2221103; 674.2425599999999; 
1636804883.3240335; 674.6112; 
1636804883.4259582; 673.87392; 
1636804883.5278816; 674.2425599999999; 
1636804883.6386218; 675.3484799999999; 
1636804883.7406046; 674.6112; 
1636804883.8426037; 674.6112; 
1636804883.9445357; 674.2425599999999; 
1636804884.0466027; 674.97984; 
1636804884.1485386; 674.2425599999999; 
1636804884.2505038; 674.2425599999999; 
1636804884.3524597; 674.6112; 
1636804884.4543822; 674.2425599999999; 
1636804884.556294; 674.2425599999999; 
1636804884.6671948; 674.2425599999999; 
1636804884.7687335; 671.29344; 
1636804884.8707056; 673.50528; 
1636804884.9726543; 673.50528; 
1636804885.0746138; 673.1366399999999; 
1636804885.1765513; 673.50528; 
1636804885.2784832; 673.87392; 
1636804885.380562; 675.3484799999999; 
1636804885.4825256; 674.2425599999999; 
1636804885.584499; 673.87392; 
1636804885.6949859; 673.50528; 
